"Datum";"kWh";"kW";"Status";
"05.01.2024 19:00";0,123;0,492;"VALID";
"05.01.2024 19:15";0,123;0,492;"VALID";
"05.01.2024 19:30";0,121;0,484;"VALID";
"05.01.2024 19:45";0,113;0,452;"VALID";
"05.01.2024 20:00";0,123;0,492;"VALID";
"05.01.2024 20:15";0,125;0,5;"VALID";
"05.01.2024 20:30";0,121;0,484;"VALID";
"05.01.2024 20:45";0,118;0,472;"VALID";
"05.01.2024 21:00";0,125;0,5;"VALID";
"05.01.2024 21:15";0,124;0,496;"VALID";
"05.01.2024 21:30";0,143;0,572;"VALID";
"05.01.2024 21:45";0,141;0,564;"VALID";
"05.01.2024 22:00";0,127;0,508;"VALID";
"05.01.2024 22:15";0,127;0,508;"VALID";
"05.01.2024 22:30";0,124;0,496;"VALID";
"05.01.2024 22:45";0,122;0,488;"VALID";
"05.01.2024 23:00";0,116;0,464;"VALID";
"05.01.2024 23:15";0,11;0,44;"VALID";
"05.01.2024 23:30";0,096;0,384;"VALID";
"05.01.2024 23:45";0,095;0,38;"VALID";
"06.01.2024 00:00";0,083;0,332;"VALID";
"06.01.2024 00:15";0,095;0,38;"VALID";
"06.01.2024 00:30";0,095;0,38;"VALID";
"06.01.2024 00:45";0,086;0,344;"VALID";
"06.01.2024 01:00";0,082;0,328;"VALID";
"06.01.2024 01:15";0,08;0,32;"VALID";
"06.01.2024 01:30";0,085;0,34;"VALID";
"06.01.2024 01:45";0,085;0,34;"VALID";
"06.01.2024 02:00";0,077;0,308;"VALID";
"06.01.2024 02:15";0,087;0,348;"VALID";
"06.01.2024 02:30";0,092;0,368;"VALID";
"06.01.2024 02:45";0,087;0,348;"VALID";
"06.01.2024 03:00";0,077;0,308;"VALID";
"06.01.2024 03:15";0,081;0,324;"VALID";
"06.01.2024 03:30";0,084;0,336;"VALID";
"06.01.2024 03:45";0,085;0,34;"VALID";
"06.01.2024 04:00";0,077;0,308;"VALID";
"06.01.2024 04:15";0,081;0,324;"VALID";
"06.01.2024 04:30";0,084;0,336;"VALID";
"06.01.2024 04:45";0,085;0,34;"VALID";
"06.01.2024 05:00";0,077;0,308;"VALID";
"06.01.2024 05:15";0,08;0,32;"VALID";
"06.01.2024 05:30";0,085;0,34;"VALID";
"06.01.2024 05:45";0,083;0,332;"VALID";
"06.01.2024 06:00";0,079;0,316;"VALID";
"06.01.2024 06:15";0,079;0,316;"VALID";
"06.01.2024 06:30";0,086;0,344;"VALID";
"06.01.2024 06:45";0,083;0,332;"VALID";
"06.01.2024 07:00";0,078;0,312;"VALID";
"06.01.2024 07:15";0,079;0,316;"VALID";
"06.01.2024 07:30";0,086;0,344;"VALID";
"06.01.2024 07:45";0,083;0,332;"VALID";
"06.01.2024 08:00";0,078;0,312;"VALID";
"06.01.2024 08:15";0,08;0,32;"VALID";
"06.01.2024 08:30";0,086;0,344;"VALID";
"06.01.2024 08:45";0,083;0,332;"VALID";
"06.01.2024 09:00";0,077;0,308;"VALID";
"06.01.2024 09:15";0,082;0,328;"VALID";
"06.01.2024 09:30";0,085;0,34;"VALID";
"06.01.2024 09:45";0,084;0,336;"VALID";
"06.01.2024 10:00";0,085;0,34;"VALID";
"06.01.2024 10:15";0,126;0,504;"VALID";
"06.01.2024 10:30";0,088;0,352;"VALID";
"06.01.2024 10:45";0,068;0,272;"VALID";
"06.01.2024 11:00";0,082;0,328;"VALID";
"06.01.2024 11:15";0,116;0,464;"VALID";
"06.01.2024 11:30";0,12;0,48;"VALID";
"06.01.2024 11:45";0,124;0,496;"VALID";
"06.01.2024 12:00";0,112;0,448;"VALID";
"06.01.2024 12:15";0,122;0,488;"VALID";
"06.01.2024 12:30";0,098;0,392;"VALID";
"06.01.2024 12:45";0,091;0,364;"VALID";
"06.01.2024 13:00";0,092;0,368;"VALID";
"06.01.2024 13:15";0,115;0,46;"VALID";
"06.01.2024 13:30";0,123;0,492;"VALID";
